name,label,value,reporting_period,non_numeric_value
Vestas Wind Systems A/S,Hazardous_waste,6.0,2021,
Vestas Wind Systems A/S,Hazardous_waste,6.0,2020,
Vestas Wind Systems A/S,Hazardous_waste,7.0,2019,
Vestas Wind Systems A/S,Hazardous_waste,7.0,2018,
Vestas Wind Systems A/S,Water_discharged,272.0,2018,
Vestas Wind Systems A/S,Water_discharged,241.0,2019,
Vestas Wind Systems A/S,Water_discharged,226.0,2020,
Vestas Wind Systems A/S,Water_discharged,224.0,2021,
Vestas Wind Systems A/S,Water_discharged,199.0,2022,
Vestas Wind Systems A/S,Gender_balance_total,16.3,2022,
Vestas Wind Systems A/S,employee_turnover,15.2,2022,
Vestas Wind Systems A/S,Does the company have TCFD report?,,2021,True
Adidas AG,female_employees,31.0,2017,
Adidas AG,female_employees,35.0,2020,
Adidas AG,emissions_scope_2_market,136583.6,2020,
Adidas AG,female_employees,34.0,2019,
Adidas AG,emissions_scope_1,11786.0,2020,
Adidas AG,female_employees,33.0,2018,
Adidas AG,female_employees,30.0,2016,
Adidas AG,ceo_compensation_total,3714228.0,2020,
Adidas AG,ceo_compensation_total,7237509.0,2019,
Adidas AG,ceo_compensation_total,8163734.0,2018,
Adidas AG,ceo_compensation_total,8473631.0,2016,
Adidas AG,ceo_compensation_total,9893655.0,2017,
Adidas AG,emissions_scope_1,12908.4,2021,
Adidas AG,emissions_scope_2_market,125502.2,2021,
Adidas AG,revenue_in_usd,27.2,2021,
Novozymes A/S,female_employees,37.0,2020,
Novozymes A/S,Gender_balance_of_the_companys_senior_management,34.0,2021,
Novozymes A/S,female_employees,37.0,2021,
Novozymes A/S,Gender_balance_of_the_companys_workforce,44.0,2021,
Novozymes A/S,Gender_balance_of_the_companys_workforce,41.0,2020,
Novozymes A/S,Gender_balance_of_the_companys_senior_management,33.0,2020,
Novozymes A/S,employee_turnover,8.7,2020,
Novozymes A/S,employee_turnover,11.8,2021,
Novozymes A/S,Hazardous_waste,1100.0,2021,
Novozymes A/S,Hazardous_waste,800.0,2020,
Novozymes A/S,Water_discharged,6610.0,2021,
Novozymes A/S,Water_withdrawn_total,7998.0,2020,
Novozymes A/S,Water_discharged,6471.0,2020,
Novozymes A/S,Water_withdrawn_total,8538.0,2021,
Novozymes A/S,total_energy,1243055.0,2020,
Novozymes A/S,renewable_energy,519444.0,2020,
Novozymes A/S,renewable_energy,539166.0,2021,
Novozymes A/S,total_energy,1305277.0,2021,
Novozymes A/S,emissions_scope_1,37000.0,2020,
Novozymes A/S,emissions_scope_2_market,197000.0,2020,
Novozymes A/S,emissions_scope_3,34000.0,2020,
Novozymes A/S,emissions_scope_2_location,445000.0,2020,
Novozymes A/S,emissions_scope_1,43000.0,2021,
Novozymes A/S,emissions_scope_2_location,351000.0,2021,
Novozymes A/S,emissions_scope_2_market,210000.0,2021,
Novozymes A/S,emissions_scope_3,35000.0,2021,
Novozymes A/S,net_zero_goal,2050.0,2021,
Novozymes A/S,Does the company have TCFD report?,,2021,True
Novozymes A/S,revenue_in_usd,2.3,2021,
ABB Ltd,female_employees,20.0,2020,
ABB Ltd,employee_turnover,16.0,2020,
ABB Ltd,water_withdrawal,1268.0,2020,
ABB Ltd,ceo_compensation_total,3836686.0,2020,
ABB Ltd,carbon_footprint,6687.0,2020,
ABB Ltd,emissions_scope_1,226000.0,2020,
ABB Ltd,emissions_scope_2_market,336000.0,2020,
ABB Ltd,emissions_scope_3,6126000.0,2020,
ABB Ltd,total_energy,1616000.0,2020,
ABB Ltd,Water_withdrawn_total,91.2933632,2020,
ABB Ltd,revenue_in_usd,27.0,2021,
Danone S.A.,emissions_scope_1,683000.0,2021,
Danone S.A.,Scope 2 (Undefined),295000.0,2021,
Danone S.A.,Scope 1+2 Emission,978000.0,2021,
Danone S.A.,emissions_scope_1,668000.0,2020,
Danone S.A.,Scope 2 (Undefined),479000.0,2020,
Danone S.A.,Scope 1+2 Emission,1147000.0,2020,
Danone S.A.,renewable_energy,1559726.0,2021,
Danone S.A.,renewable_energy,5239358.0,2020,
Danone S.A.,total_energy,0.1492,2020,
Danone S.A.,total_energy,5199087.0,2021,
Danone S.A.,emissions_scope_3,23773000.0,2021,
Danone S.A.,Water_withdrawn_total,67749.0,2021,
Danone S.A.,Water_withdrawn_total,69150.0,2020,
Danone S.A.,Water_discharged,38559.0,2021,
Danone S.A.,Water_discharged,39714.0,2020,
Danone S.A.,net_zero_goal,2050.0,2021,
Danone S.A.,Gender_balance_total,32.0,2021,
Danone S.A.,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),45.0,2021,
Danone S.A.,Gender_balance_of_the_companys_executives_and_executive_board,29.0,2021,
Danone S.A.,Gender_balance_of_the_companys_senior_management,41.0,2021,
Danone S.A.,female_employees,53.0,2021,
Danone S.A.,Gender_balance_total,31.0,2020,
Danone S.A.,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),43.0,2020,
Danone S.A.,Gender_balance_of_the_companys_executives_and_executive_board,43.0,2020,
Danone S.A.,Gender_balance_of_the_companys_senior_management,41.0,2020,
Danone S.A.,female_employees,52.0,2020,
Danone S.A.,employee_turnover,14.0,2020,
Danone S.A.,employee_turnover,19.0,2021,
Koninklijke Ahold Delhaize N.V.,ceo_pay_ratio,122.0,2020,
Koninklijke Ahold Delhaize N.V.,female_employees,39.0,2020,
Koninklijke Ahold Delhaize N.V.,emissions_scope_1,1579000.0,2020,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_location,1820000.0,2020,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_market,1457000.0,2020,
Koninklijke Ahold Delhaize N.V.,emissions_scope_3,65930000.0,2020,
Koninklijke Ahold Delhaize N.V.,revenue_in_usd,84.3,2021,
Koninklijke Ahold Delhaize N.V.,emissions_scope_1,1794000.0,2021,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_location,1770000.0,2021,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_market,1099000.0,2021,
Koninklijke Ahold Delhaize N.V.,emissions_scope_1,1823000.0,2022,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_location,1668000.0,2022,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_market,114000.0,2022,
Koninklijke Ahold Delhaize N.V.,total_energy,6973000.0,2022,
Koninklijke Ahold Delhaize N.V.,total_energy,6835000.0,2021,
Koninklijke Ahold Delhaize N.V.,net_zero_goal,2050.0,2022,
Koninklijke Ahold Delhaize N.V.,emissions_scope_3,62974000.0,2021,
Koninklijke Ahold Delhaize N.V.,total_energy,6561000.0,2020,
Koninklijke Ahold Delhaize N.V.,Water_discharged,8307.0,2022,
Koninklijke Ahold Delhaize N.V.,Water_discharged,7887.0,2021,
Koninklijke Ahold Delhaize N.V.,female_employees,54.0,2021,
Koninklijke Ahold Delhaize N.V.,female_employees,54.0,2022,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_senior_management,40.0,2022,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_executives_and_executive_board,29.0,2022,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_executives_and_executive_board,17.0,2021,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_senior_management,40.0,2021,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),33.0,2021,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),33.0,2022,
Koninklijke Ahold Delhaize N.V.,Gender_balance_total,53.0,2022,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_senior_management,25.0,2020,
Koninklijke Ahold Delhaize N.V.,Gender_balance_total,58.0,2021,
Koninklijke Ahold Delhaize N.V.,employee_turnover,63.0,2022,
Koninklijke Ahold Delhaize N.V.,employee_turnover,62.0,2021,
Koninklijke Ahold Delhaize N.V.,emissions_scope_1,1699000.0,2019,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_location,1926000.0,2019,
Koninklijke Ahold Delhaize N.V.,emissions_scope_2_market,1772.0,2019,
Koninklijke Ahold Delhaize N.V.,total_energy,6649000.0,2019,
Koninklijke Ahold Delhaize N.V.,Water_discharged,6824.0,2019,
Koninklijke Ahold Delhaize N.V.,Water_discharged,7237.0,2020,
Koninklijke Ahold Delhaize N.V.,Gender_balance_total,54.0,2020,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_board_of_directors_and_nonexecutive_board_(or_supervisory_board),40.0,2020,
Koninklijke Ahold Delhaize N.V.,Gender_balance_of_the_companys_executives_and_executive_board,34.0,2020,
Akzo Nobel N.V.,ceo_pay_ratio,71.3,2018,
Akzo Nobel N.V.,emissions_scope_2_market,226.0,2018,
Akzo Nobel N.V.,employee_turnover,14.0,2018,
Akzo Nobel N.V.,emissions_scope_3,14.0,2018,
Akzo Nobel N.V.,emissions_scope_3,12.6,2020,
Akzo Nobel N.V.,ceo_pay_ratio,70.3,2017,
Akzo Nobel N.V.,emissions_scope_1,58.29,2019,
Akzo Nobel N.V.,emissions_scope_1,62.9,2018,
Akzo Nobel N.V.,employee_turnover,13.0,2017,
Akzo Nobel N.V.,employee_turnover,12.0,2016,
Akzo Nobel N.V.,emissions_scope_1,69.66,2017,
Akzo Nobel N.V.,emissions_scope_2_market,237.8,2017,
Akzo Nobel N.V.,ceo_pay_ratio,81.9,2019,
Akzo Nobel N.V.,ceo_pay_ratio,71.4,2016,
Akzo Nobel N.V.,emissions_scope_2_market,183.1,2019,
Akzo Nobel N.V.,employee_turnover,14.0,2019,
Akzo Nobel N.V.,emissions_scope_1,72.72,2016,
Akzo Nobel N.V.,emissions_scope_1,57.16,2020,
Akzo Nobel N.V.,emissions_scope_3,13.6,2019,
Akzo Nobel N.V.,emissions_scope_2_market,244.3,2016,
Akzo Nobel N.V.,female_employees,27.0,2019,
Akzo Nobel N.V.,employee_turnover,13.0,2020,
Akzo Nobel N.V.,female_employees,27.0,2020,
Akzo Nobel N.V.,emissions_scope_2_market,168.2,2020,
Akzo Nobel N.V.,ceo_pay_ratio,126.4,2020,
Akzo Nobel N.V.,ceo_compensation_total,2899883.0,2018,
Akzo Nobel N.V.,ceo_compensation_total,3518900.0,2016,
Akzo Nobel N.V.,percentage_of_renewable_energy,30.0,2017,
Akzo Nobel N.V.,ceo_compensation_total,3561212.0,2019,
Akzo Nobel N.V.,percentage_of_renewable_energy,27.0,2016,
Akzo Nobel N.V.,percentage_of_renewable_energy,33.0,2020,
Akzo Nobel N.V.,ceo_compensation_total,2825863.0,2017,
Akzo Nobel N.V.,percentage_of_renewable_energy,31.0,2019,
Akzo Nobel N.V.,percentage_of_renewable_energy,31.0,2018,
Akzo Nobel N.V.,ceo_compensation_total,5561689.0,2020,
Akzo Nobel N.V.,revenue_in_usd,10.7,2021,
Alphabet Inc.,emissions_scope_1,66549.0,2017,
Alphabet Inc.,female_employees,25.5,2018,
Alphabet Inc.,emissions_scope_3,12900467.0,2018,
Alphabet Inc.,ceo_pay_ratio,5e-06,2017,
Alphabet Inc.,emissions_scope_2_market,684236.0,2018,
Alphabet Inc.,total_energy,15439538.0,2020,
Alphabet Inc.,emissions_scope_2_market,509334.0,2017,
Alphabet Inc.,renewable_energy,15138543.0,2020,
Alphabet Inc.,renewable_energy,7609089.0,2017,
Alphabet Inc.,total_energy,12749548.0,2019,
Alphabet Inc.,emissions_scope_2_location,3301392.0,2017,
Alphabet Inc.,emissions_scope_2_location,5116949.0,2019,
Alphabet Inc.,female_employees,25.0,2017,
Alphabet Inc.,emissions_scope_1,66218.0,2016,
Alphabet Inc.,total_energy,8029409.0,2017,
Alphabet Inc.,total_energy,10572485.0,2018,
Alphabet Inc.,female_employees,26.1,2019,
Alphabet Inc.,total_energy,6513719.0,2016,
Alphabet Inc.,renewable_energy,171237198.0,2019,
Alphabet Inc.,emissions_scope_1,38694.0,2020,
Alphabet Inc.,emissions_scope_2_location,5865095.0,2020,
Alphabet Inc.,emissions_scope_2_market,794267.0,2019,
Alphabet Inc.,emissions_scope_2_market,911415.0,2020,
Alphabet Inc.,emissions_scope_2_location,4344686.0,2018,
Alphabet Inc.,emissions_scope_2_location,2902554.0,2016,
Alphabet Inc.,emissions_scope_1,66686.0,2019,
Alphabet Inc.,renewable_energy,3770571.0,2016,
Alphabet Inc.,renewable_energy,10104295.0,2018,
Alphabet Inc.,emissions_scope_1,63521.0,2018,
Alphabet Inc.,ceo_pay_ratio,1085.0,2019,
Alphabet Inc.,emissions_scope_2_market,1518643.0,2016,
Alphabet Inc.,emissions_scope_3,9376000.0,2020,
Alphabet Inc.,emissions_scope_3,1292268.0,2016,
Alphabet Inc.,emissions_scope_3,2719024.0,2017,
