Column1,name,label,value,reporting_period
178,ASML Holding N.V.,Gender_balance_total,15,2020
179,ASML Holding N.V.,Gender_balance_total,15,2019
180,ASML Holding N.V.,employee_turnover,5.4,2021
181,ASML Holding N.V.,Does the company have TCFD report?,True,2021
182,ASML Holding N.V.,revenue_in_usd,18.6,2021
183,UnitedHealth Group Incorporated,Employees,350000,2021
184,UnitedHealth Group Incorporated,Revenue,226.25B,2018
185,UnitedHealth Group Incorporated,Revenue,242.16B,2019
186,UnitedHealth Group Incorporated,Revenue,257.14B,2020
187,UnitedHealth Group Incorporated,Revenue,287.6B,2021
188,UnitedHealth Group Incorporated,adult,No,2022
189,UnitedHealth Group Incorporated,alcoholic,No,2022
190,UnitedHealth Group Incorporated,catholic,Yes,2022
191,UnitedHealth Group Incorporated,coal,No,2022
192,UnitedHealth Group Incorporated,controversialWeapons,No,2022
193,UnitedHealth Group Incorporated,furLeather,No,2022
194,UnitedHealth Group Incorporated,gambling,No,2022
195,UnitedHealth Group Incorporated,gmo,No,2022
196,UnitedHealth Group Incorporated,militaryContract,No,2022
197,UnitedHealth Group Incorporated,nuclear,No,2022
198,UnitedHealth Group Incorporated,pesticides,No,2022
199,UnitedHealth Group Incorporated,smallArms,No,2022
200,UnitedHealth Group Incorporated,tobacco,No,2022
201,UnitedHealth Group Incorporated,Risk:_Sustainalytics,17.54,2022
202,UnitedHealth Group Incorporated,ceo_pay_ratio,321,2020
203,UnitedHealth Group Incorporated,"Does_company_use_products_from_Soy,_Palm_Oil,_Mining,_Timber,_Fisheries,_Agriculture,_Cattle",False,2022
204,UnitedHealth Group Incorporated,"Commitment_to_the_safety_of_employees_in_the_workplace,_in_travel_to_and_from_the_workplace_and_on_company_related_business,_as_well_as_safety_of_vendors_in_the_workplace",True,2020
205,UnitedHealth Group Incorporated,"Prohibits_all_forms_of_violence_in_the_workplace,_including_verbal,_physical_and_sexual_harassment",True,2020
206,UnitedHealth Group Incorporated,Commitment_to_ensure_equal_access_to_training_and_career_development_irrespective_of_gender,True,2020
207,UnitedHealth Group Incorporated,"Commitment_to_ensure_diversity_in_the_supply_chain,_including_support_for_women_owned_businesses_in_the_supply_chain",True,2020
208,UnitedHealth Group Incorporated,net_zero_goal,2035,2020
209,UnitedHealth Group Incorporated,emissions_scope_1,24487,2020
210,UnitedHealth Group Incorporated,emissions_scope_1,17709,2019
211,UnitedHealth Group Incorporated,emissions_scope_1,13933,2018
212,UnitedHealth Group Incorporated,emissions_scope_2_location,156751,2020
213,UnitedHealth Group Incorporated,emissions_scope_2_market,148741,2020
214,UnitedHealth Group Incorporated,emissions_scope_3,213495,2020
215,UnitedHealth Group Incorporated,emissions_scope_2_location,153004,2019
216,UnitedHealth Group Incorporated,emissions_scope_2_market,149418,2019
217,UnitedHealth Group Incorporated,emissions_scope_3,429812,2019
218,UnitedHealth Group Incorporated,emissions_scope_2_location,153754,2018
219,UnitedHealth Group Incorporated,emissions_scope_2_market,155700,2018
220,UnitedHealth Group Incorporated,emissions_scope_3,298680,2018
221,UnitedHealth Group Incorporated,total_energy,381692,2020
222,UnitedHealth Group Incorporated,renewable_energy,19647,2020
223,UnitedHealth Group Incorporated,total_energy,375673,2019
224,UnitedHealth Group Incorporated,renewable_energy,8216,2019
225,UnitedHealth Group Incorporated,total_energy,365005,2018
226,UnitedHealth Group Incorporated,renewable_energy,736,2018
227,UnitedHealth Group Incorporated,voluntary_turnover_rate,12,2020
228,UnitedHealth Group Incorporated,voluntary_turnover_rate,14,2019
229,UnitedHealth Group Incorporated,voluntary_turnover_rate,13,2018
230,UnitedHealth Group Incorporated,Employees,330000,2020
231,UnitedHealth Group Incorporated,Employees,325000,2019
232,UnitedHealth Group Incorporated,Employees,300000,2018
233,UnitedHealth Group Incorporated,Gender_balance_of_the_company’s_workforce,70,2020
234,UnitedHealth Group Incorporated,Gender_balance_of_the_company’s_workforce,69,2019
235,UnitedHealth Group Incorporated,Gender_balance_of_the_company’s_workforce,66,2018
236,UnitedHealth Group Incorporated,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),30,2020
237,UnitedHealth Group Incorporated,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27.3,2019
238,UnitedHealth Group Incorporated,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27.3,2018
239,UnitedHealth Group Incorporated,Unadjusted_pay_gap,0,2020
240,UnitedHealth Group Incorporated,Animal_testing?,False,2020
241,UnitedHealth Group Incorporated,relatedControversy,Business Ethics Incidents,2022
242,UnitedHealth Group Incorporated,Arabesque_GC_score,55.88,2021
243,UnitedHealth Group Incorporated,Arabesque_ESG_score,56.03,2021
244,UnitedHealth Group Incorporated,Long-term_temperature,3°C,2021
245,UnitedHealth Group Incorporated,Near-term_temperature,3°C,2021
246,UnitedHealth Group Incorporated,S&P500,True,2021
247,UnitedHealth Group Incorporated,emissions_scope_1,97537,2021
248,UnitedHealth Group Incorporated,emissions_scope_2_location,322472,2021
249,UnitedHealth Group Incorporated,emissions_scope_2_market,290463,2021
250,UnitedHealth Group Incorporated,emissions_scope_1,16570,2017
251,UnitedHealth Group Incorporated,emissions_scope_2_location,156719,2017
252,UnitedHealth Group Incorporated,emissions_scope_1,15838,2016
253,UnitedHealth Group Incorporated,emissions_scope_2_location,161303,2016
254,UnitedHealth Group Incorporated,"Ready for publishing (scope 1,2)",True,2021
255,UnitedHealth Group Incorporated,Revenue,201.2B,2017
256,UnitedHealth Group Incorporated,Revenue,148.6B,2016
257,UnitedHealth Group Incorporated,peerGroup,Healthcare,2022
258,UnitedHealth Group Incorporated,Ready for publishing (scope 3),True,2021
259,UnitedHealth Group Incorporated,emissions_scope_3,88465,2021
260,UnitedHealth Group Incorporated,emissions_scope_3,127671,2017
261,UnitedHealth Group Incorporated,emissions_scope_3,"146,373",2016
262,UnitedHealth Group Incorporated,revenue_in_usd,387.2,2021
263,DSM,employee_turnover,10.6,2020
264,DSM,water_withdrawal,10,2020
265,DSM,ceo_pay_ratio,19,2020
266,DSM,female_employees,30,2020
267,DSM,ceo_compensation_total,2617,2020
268,DSM,carbon_footprint,13.24,2020
269,DSM,percentage_of_renewable_energy,60,2020
270,DSM,emissions_scope_3,9752000,2020
271,DSM,emissions_scope_2_location,815000,2020
272,DSM,emissions_scope_1,611800,2020
273,DSM,voluntary_turnover_rate,4.8,2020
274,DSM,net_zero_goal,2050,2020
275,DSM,carbon_offsets,306021,2020
276,DSM,net_zero_ milestones,In August 2021 we raised the bar further by aiming to halve DSM’s Scope 1 and 2 emissions by 2030 by targeting a 50% absolute reduction of the company’s direct GHG emissions (Scope 1) and emissions from our purchased energy (Scope 2) by 2030.,2020
277,DSM,net_zero_goal_year,2050,2020
278,DSM,renewable_energy,991500,2020
279,DSM,total_energy,5405100,2020
280,Vestas Wind Systems A/S,emissions_scope_3,10590,2020
281,Vestas Wind Systems A/S,female_employees,19,2020
282,Vestas Wind Systems A/S,emissions_scope_1,83000,2020
283,Vestas Wind Systems A/S,employee_turnover,11.9,2020
284,Vestas Wind Systems A/S,emissions_scope_2_market,14000,2020
285,Vestas Wind Systems A/S,percentage_of_renewable_energy,48,2020
286,Vestas Wind Systems A/S,ceo_compensation_total,"4,078,187",2020
287,Vestas Wind Systems A/S,peerGroup,Electrical Equipment,2022
288,Vestas Wind Systems A/S,UN_GC_Business_ambition_for_1.5c,True,2021
289,Vestas Wind Systems A/S,UN_GC_Carbon_pricing_champions,True,2021
290,Vestas Wind Systems A/S,UN_GC_SBT_(approved),True,2021
291,Vestas Wind Systems A/S,UN_GC_Participant,True,2021
292,Vestas Wind Systems A/S,Arabesque_GC_score,66.57,2021
293,Vestas Wind Systems A/S,Arabesque_ESG_score,61.19,2021
294,Vestas Wind Systems A/S,Long-term_temperature,1.5°C,2021
295,Vestas Wind Systems A/S,Near-term_temperature,1.5°C,2021
296,Vestas Wind Systems A/S,net_zero_goal,2030,2021
297,Vestas Wind Systems A/S,emissions_scope_1,98000,2022
298,Vestas Wind Systems A/S,emissions_scope_2_market,2000,2022
299,Vestas Wind Systems A/S,emissions_scope_2_location,59000,2022
300,Vestas Wind Systems A/S,emissions_scope_3,8177,2022
301,Vestas Wind Systems A/S,total_energy,641000,2022
302,Vestas Wind Systems A/S,total_energy,738000,2021
303,Vestas Wind Systems A/S,total_energy,621000,2020
304,Vestas Wind Systems A/S,total_energy,638000,2019
305,Vestas Wind Systems A/S,total_energy,614000,2018
306,Vestas Wind Systems A/S,renewable_energy,231000,2022
307,Vestas Wind Systems A/S,renewable_energy,283000,2021
308,Vestas Wind Systems A/S,renewable_energy,295000,2020
309,Vestas Wind Systems A/S,renewable_energy,258000,2019
310,Vestas Wind Systems A/S,renewable_energy,211000,2018
311,Vestas Wind Systems A/S,emissions_scope_1,99000,2021
312,Vestas Wind Systems A/S,emissions_scope_2_location,3000,2021
313,Vestas Wind Systems A/S,emissions_scope_2_market,48000,2019
314,Vestas Wind Systems A/S,emissions_scope_2_market,61000,2018
315,Vestas Wind Systems A/S,emissions_scope_1,69000,2018
316,Vestas Wind Systems A/S,emissions_scope_1,66000,2019
317,Vestas Wind Systems A/S,emissions_scope_3,10560,2021
318,Vestas Wind Systems A/S,emissions_scope_3,7830,2019
319,Vestas Wind Systems A/S,Water_withdrawn_total,378,2021
320,Vestas Wind Systems A/S,Water_withdrawn_total,341,2022
321,Vestas Wind Systems A/S,Water_withdrawn_total,421,2020
322,Vestas Wind Systems A/S,Water_withdrawn_total,473,2019
323,Vestas Wind Systems A/S,Water_withdrawn_total,470,2018
324,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),25,2022
325,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27,2021
326,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),27,2020
327,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),26,2019
328,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),15,2018
329,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_senior_management,19,2018
330,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_senior_management,19,2019
331,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_senior_management,19,2020
332,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_senior_management,21,2021
333,Vestas Wind Systems A/S,female_employees,,2022
334,Vestas Wind Systems A/S,Gender_balance_of_the_company’s_senior_management,21,2022
335,Vestas Wind Systems A/S,Hazardous_waste,4,2022
336,Vestas Wind Systems A/S,Hazardous_waste,6,2021
337,Vestas Wind Systems A/S,Hazardous_waste,6,2020
338,Vestas Wind Systems A/S,Hazardous_waste,7,2019
339,Vestas Wind Systems A/S,Hazardous_waste,7,2018
340,Vestas Wind Systems A/S,Water_discharged,272,2018
341,Vestas Wind Systems A/S,Water_discharged,241,2019
342,Vestas Wind Systems A/S,Water_discharged,226,2020
343,Vestas Wind Systems A/S,Water_discharged,224,2021
344,Vestas Wind Systems A/S,Water_discharged,199,2022
345,Vestas Wind Systems A/S,Gender_balance_total,16.3,2022
346,Vestas Wind Systems A/S,employee_turnover,15.2,2022
347,Vestas Wind Systems A/S,Does the company have TCFD report?,True,2021
348,Adidas AG,female_employees,31,2017
349,Adidas AG,female_employees,35,2020
350,Adidas AG,emissions_scope_2_market,136583.6,2020
351,Adidas AG,female_employees,34,2019
352,Adidas AG,emissions_scope_1,11786,2020
353,Adidas AG,female_employees,33,2018
354,Adidas AG,female_employees,30,2016
355,Adidas AG,ceo_compensation_total,"3,714,228",2020
356,Adidas AG,ceo_compensation_total,"7,237,509",2019
357,Adidas AG,ceo_compensation_total,8163734,2018
358,Adidas AG,ceo_compensation_total,8473631,2016
359,Adidas AG,ceo_compensation_total,9893655,2017
360,Adidas AG,Does_company_use_products_from_Pulp_or_Paper?,True,2021
361,Adidas AG,Does_company_use_products_from_Fur_or_Leather?,True,2021
362,Adidas AG,forest500_link,True,2021
363,Adidas AG,Arabesque_GC_score,53.58,2021
364,Adidas AG,Arabesque_ESG_score,54.04,2021
365,Adidas AG,Long-term_temperature,1.5°C,2021
366,Adidas AG,Near-term_temperature,1.5°C,2021
367,Adidas AG,emissions_scope_1,12908.4,2021
368,Adidas AG,emissions_scope_2_market,125502.2,2021
369,Adidas AG,revenue_in_usd,27.2,2021
370,Novozymes A/S,female_employees,37,2020
371,Novozymes A/S,Gender_balance_of_the_company’s_senior_management,34,2021
372,Novozymes A/S,female_employees,37,2021
373,Novozymes A/S,Gender_balance_of_the_company’s_workforce,44,2021
374,Novozymes A/S,Gender_balance_of_the_company’s_workforce,41,2020
375,Novozymes A/S,Gender_balance_of_the_company’s_senior_management,33,2020
376,Novozymes A/S,employee_turnover,8.7,2020
377,Novozymes A/S,employee_turnover,11.8,2021
378,Novozymes A/S,Hazardous_waste,1100,2021
379,Novozymes A/S,Hazardous_waste,800,2020
380,Novozymes A/S,Water_discharged,6610,2021
381,Novozymes A/S,Water_withdrawn_total,"7,998",2020
382,Novozymes A/S,Water_discharged,6471,2020
383,Novozymes A/S,Water_withdrawn_total,8538,2021
384,Novozymes A/S,total_energy,1243055,2020
385,Novozymes A/S,renewable_energy,519444,2020
386,Novozymes A/S,renewable_energy,539166,2021
387,Novozymes A/S,total_energy,1305277,2021
388,Novozymes A/S,emissions_scope_1,37000,2020
389,Novozymes A/S,emissions_scope_2_market,197000,2020
390,Novozymes A/S,emissions_scope_3,34000,2020
391,Novozymes A/S,emissions_scope_2_location,445000,2020
392,Novozymes A/S,emissions_scope_1,43000,2021
393,Novozymes A/S,emissions_scope_2_location,351000,2021
394,Novozymes A/S,emissions_scope_2_market,210000,2021
395,Novozymes A/S,emissions_scope_3,35000,2021
396,Novozymes A/S,net_zero_goal,2050,2021
397,Novozymes A/S,Does the company have TCFD report?,True,2021
398,Novozymes A/S,UN_GC_Participant,True,2021
399,Novozymes A/S,revenue_in_usd,2.3,2021
400,ABB Ltd,female_employees,20,2020
401,ABB Ltd,employee_turnover,16,2020
402,ABB Ltd,water_withdrawal,1268,2020
403,ABB Ltd,ceo_compensation_total,"3,836,686",2020
404,ABB Ltd,carbon_footprint,6687,2020
405,ABB Ltd,UN_GC_Business_ambition_for_1.5c,True,2021
406,ABB Ltd,UN_GC_SBT_(approved),True,2021
407,ABB Ltd,UN_GC_Participant,True,2021
408,ABB Ltd,Arabesque_GC_score,67.55,2021
409,ABB Ltd,Arabesque_ESG_score,70.33,2021
410,ABB Ltd,Long-term_temperature,1.5°C,2021
411,ABB Ltd,Near-term_temperature,1.5°C,2021
412,ABB Ltd,emissions_scope_1,226000,2020
413,ABB Ltd,emissions_scope_2_market,336000,2020
414,ABB Ltd,emissions_scope_3,6126000,2020
415,ABB Ltd,total_energy,1616000,2020
416,ABB Ltd,Water_withdrawn_total,91.2933632,2020
417,ABB Ltd,revenue_in_usd,27,2021
418,Wolters Kluwer N.V.,UN_GC_Participant,True,2021
419,Wolters Kluwer N.V.,Arabesque_GC_score,57.7,2021
420,Wolters Kluwer N.V.,Arabesque_ESG_score,52.12,2021
421,Wolters Kluwer N.V.,Long-term_temperature,3°C,2021
422,Wolters Kluwer N.V.,Near-term_temperature,3°C,2021
423,Wolters Kluwer N.V.,revenue_in_usd,5.5,2021
424,Danone S.A.,UN_GC_Business_ambition_for_1.5c,True,2021
425,Danone S.A.,UN_GC_CEO_Water_Mandate,True,2021
426,Danone S.A.,UN_GC_CFO_Principles,True,2021
427,Danone S.A.,UN_GC_SBT_(approved),True,2021
428,Danone S.A.,UN_GC_Signatory_to_Women_Empowerment_Principles,True,2021
429,Danone S.A.,Does_company_use_products_from_Palm_Oil?,True,2021
430,Danone S.A.,Does_company_use_products_from_Soy?,True,2021
431,Danone S.A.,Does_company_use_products_from_Pulp_or_Paper?,True,2021
432,Danone S.A.,forest500_link,True,2021
433,Danone S.A.,UN_GC_Participant,True,2021
434,Danone S.A.,Arabesque_GC_score,60.16,2021
435,Danone S.A.,Arabesque_ESG_score,54.83,2021
436,Danone S.A.,Long-term_temperature,1.5°C,2021
437,Danone S.A.,Near-term_temperature,1.5°C,2021
438,Danone S.A.,emissions_scope_1,683000,2021
439,Danone S.A.,Scope 2 (Undefined),295000,2021
440,Danone S.A.,Scope 1+2 Emission,978000,2021
441,Danone S.A.,emissions_scope_1,668000,2020
442,Danone S.A.,Scope 2 (Undefined),479000,2020
443,Danone S.A.,Scope 1+2 Emission,1147000,2020
444,Danone S.A.,emissions_scope_3,,2020
445,Danone S.A.,renewable_energy,1559726,2021
446,Danone S.A.,renewable_energy,5239358,2020
447,Danone S.A.,total_energy,0.1492,2020
448,Danone S.A.,total_energy,5199087,2021
449,Danone S.A.,emissions_scope_3,23773000,2021
450,Danone S.A.,Water_withdrawn_total,67749,2021
451,Danone S.A.,Water_withdrawn_total,69150,2020
452,Danone S.A.,Water_discharged,38559,2021
453,Danone S.A.,Water_discharged,39714,2020
454,Danone S.A.,net_zero_goal,2050,2021
455,Danone S.A.,Gender_balance_total,32,2021
456,Danone S.A.,Gender_balance_of_the_company’s_board_of_directors_and_nonexecutive_board_(or_supervisory_board),45,2021
457,Danone S.A.,Gender_balance_of_the_company’s_executives_and_executive_board,29,2021
458,Danone S.A.,Gender_balance_of_the_company’s_senior_management,41,2021
